Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Why Blockchain is Hard,"The hype around blockchain is massive. To hear the blockchain hype train tell it, blockchain will now:",,10 min read,"May 14,",2018,108K,651 responses
WTF is The Blockchain?,,HackerNoon.com,16 min read,"Jun 29,",2017,89K,417 responses
Learn Blockchains by Building One,,,9 min read,"Sep 24,",2017,82K,390 responses
Blockchain is not only crappy technology but a bad vision for the future,,,11 min read,"Apr 5,",2018,60K,898 responses
"Ten years in, nobody has come up with a use for blockchain",,,16 min read,"Dec 22,",2017,52K,580 responses
We already know blockchain’s killer apps,It wasn’t too long ago that Silicon Valley scoffed at cryptocurrencies. All over coffee…,HackerNoon.com,25 min read,"Oct 31,",2017,31K,195 responses
Crypto Takes Over SXSW: Blockchain Events & Survival Guide,,,3 min read,"Mar 10,",2018,21K,55 responses
How Blockchain Can Help SMBs Compete with the Big Dogs,,HackerNoon.com,3 min read,"Apr 18,",2018,50K,285 responses
How does blockchain really work? I built an app to show you.,,We’ve moved to freeCodeCamp.org/news,4 min read,"Sep 4,",2017,23K,119 responses
How Does the Blockchain Work?,,OneZero,15 min read,"Jun 1,",2016,25K,82 responses
How Blockchain is Taking Gaming to a Whole New Level,,The Aerum Project,4 min read,"Oct 23,",2018,14.1K,24 responses
A blockchain in 200 lines of code,"The basic concept of blockchain is quite simple: a distributed database that maintains a continuously growing list of ordered records. However, it is easy to get mixed up as usually when we talk about blockchains we also talk about the problems we are trying to solve…",,4 min read,"Mar 4,",2017,19.1K,102 responses
Beginner’s Guide to Blockchain — Explaining it to a 5 Year Old,,,7 min read,"Aug 15,",2018,23K,80 responses
18 Blockchain Predictions for 2018,,ConsenSys Media,11 min read,"Jan 3,",2018,20K,112 responses
Blockchain Project Ecosystem,,,11 min read,"Oct 14,",2017,15.2K,139 responses
Blockchain Governance: Programming Our Future,This post describes why blockchain governance design is one of the most…,,17 min read,"Nov 27,",2017,22K,181 responses
The Blockchain Economy: A beginner’s guide to institutional cryptoeconomics,,Cryptoeconomics Australia,14 min read,"Sep 27,",2017,17.9K,68 responses
"Blockchains don’t scale. Not today, at least. But there’s hope.",,HackerNoon.com,20 min read,"Aug 23,",2017,14.3K,140 responses
Blockchain Platforms: One Chain To Rule Them All?,,HackerNoon.com,21 min read,"Jan 25,",2018,30K,121 responses
Fundamental challenges with public blockchains,,,29 min read,"Dec 11,",2017,17.4K,104 responses
,,,2 min read,"Feb 13,",2018,12.6K,19 responses
"CoTrader sets $3M hardcap for its live blockchain Uber of Hedge Funds, Democratizing the $85 Trillion Investment…",,,3 min read,"Aug 26,",2018,24K,26 responses
Every company will use blockchain by 2027,,HackerNoon.com,8 min read,"Oct 21,",2017,12.3K,74 responses
How Blockchain Can Empower Refugees — Celebrating World Refugee Day,,LittlePhilNews,5 min read,"Jun 20,",2018,71K,8 responses
An Undervalued Blockchain Market In China Is Good News For You,,HackerNoon.com,24 min read,"Jan 14,",2018,30K,102 responses
ZeroBank Roadshow Recap at Blockchain Forum 2018,,ZEROBANK - Your Local Currency,3 min read,"Jun 16,",2018,24K,164 responses
The authoritative guide to blockchain development,,We’ve moved to freeCodeCamp.org/news,21 min read,"Jan 28,",2018,16.6K,60 responses
ANDX will be also on Tron Blockchain Now,"Buy, Store, and Trade ANDX on Tron Wallets and Exchanges.",,2 min read,Feb 4,,5.9K,202 responses
Let’s Build the Tiniest Blockchain,,Crypto Currently,4 min read,"Jul 16,",2017,10K,46 responses
How Blockchain Could Have Stopped the China Chip Hack and Other Acts by the Thugs of our Generation,,HackerNoon.com,4 min read,"Oct 28,",2018,30K,11 responses
How To Build a Basic Blockchain in Go,,Level Up Coding,6 min read,Apr 6,,258,3 responses
Writing a Blockchain in Node.js,,,7 min read,May 11,,497,4 responses
10 Top Blockchain Certifications for Professionals in 2021,,Brandlitic,9 min read,Jan 4,,183,5 responses
Blockchain Development Mega Guide.,,Programmers Blockchain,4 min read,"Jan 28,",2020,399,2 responses
"The Graph integrates Polkadot, Solana, NEAR and Celo and becomes the Google of blockchains",,Coinmonks,2 min read,Mar 30,,300,
"Advanced Cryptocurrency Trading Bot — Python — Open Source (Chapters 5, 6 & 7)",Hello Everyone and welcome to another installment in the course ‘Creating a Cryptocurrency Trading Bot in Python’.,,2 min read,"Jun 1,",2018,249,3 responses
Machine Learning in the World Of Blockchain and Cryptocurrency,,Towards Data Science,6 min read,May 6,,238,1 response
7 Awesome Blockchain Investing Tools and Apps,,Yard Couch,8 min read,Jun 14,,350,5 responses
The Beginner’s Guide to the NEAR Blockchain,,NEAR Protocol,1 min read,"Jan 18,",2019,684,2 responses
Theta Labs announces $1 million in new hackathons to support development of Theta blockchain ecosystem,,Theta Network,2 min read,Aug 26,,1.1K,1 response
How to Run a Blockchain on a Deserted Island with Pen and Paper,,HackerNoon.com,10 min read,"May 10,",2018,11.7K,65 responses
Alternatives to Blockchain,"In my last article, I argued for why blockchain is not really a good fit for anything other than money…",,8 min read,"May 23,",2018,10.3K,93 responses
CryptoFlix: A Blockchain Film and Tv Streaming Platform to Disrupt the Global Multi-Billion Markets.,,,1 min read,"Feb 5,",2018,2.8K,16 responses
Artificial Intelligence + Blockchain = Passive Income (Forever?),,HackerNoon.com,7 min read,"Sep 20,",2018,7.1K,43 responses
Funding the Evolution of Blockchains,"Blockchains are digital organisms. As organisms evolve through changes in their DNA, blockchain protocols evolve through changes in their code. And like biological organisms, the most adaptive blockchains will be the ones that survive and thrive.",,6 min read,"Aug 24,",2017,7.2K,46 responses
Blockchain-based Machine Learning Marketplaces,Machine learning models trained on data from blockchain-based marketplaces have…,,9 min read,"Mar 13,",2018,9K,41 responses
Popular Use Cases of Blockchain Technology You Need to Know,,HackerNoon.com,6 min read,"Feb 1,",2018,7.5K,49 responses
Ternio 100k Airdrop,,,2 min read,"Feb 5,",2018,12.8K,155 responses
The Blockchain Is Going To Change Fantasy Sports Forever,,MyDFS,2 min read,"Mar 16,",2018,249,8 responses
The Blockchain Is a Reminder of the Internet’s Failure,,OneZero,7 min read,"Dec 6,",2018,9K,42 responses
Blockchain Isn’t a Revolution,,,8 min read,"Jun 18,",2018,8.4K,42 responses
The Blockchain Is Going To Change Fantasy Sports Forever,,,2 min read,"Jan 6,",2018,41,1 response
Blockchain Is a Semantic Wasteland,,,11 min read,"Oct 5,",2018,10K,49 responses
The convergence of AI and Blockchain: what’s the deal?,,,14 min read,"Dec 2,",2017,7.5K,54 responses
"Understanding Blockchain Fundamentals, Part 1: Byzantine Fault Tolerance",,Loom Network,7 min read,"Dec 1,",2017,8.1K,17 responses
JulSwap IDO Afen Blockchain Group,,,2 min read,Apr 11,,6.5K,22 responses
Blockchain Tokens and the dawn of the Decentralized Business Model,Over the last few years over $1bn has been invested in digital currency startups from venture capital firms and institutional investors. Then something odd started happening over the last 4 months. A handful of…,The Coinbase Blog,9 min read,"Aug 2,",2016,3.2K,42 responses
