Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
How To Learn Data Science If You’re Broke,"Over the last year, I taught myself data science. I learned from hundreds of online…",Towards Data Science,9 min read,"Sep 15,",2018,22K,75 responses
How to Build a Data Science Portfolio,"How do you get a job in data science? Knowing enough statistics, machine learning…",Towards Data Science,18 min read,"Jul 8,",2018,18.9K,92 responses
The best Mario Kart character according to data science,,The Civis Journal,6 min read,"Jun 8,",2018,19.4K,76 responses
Essential Math for Data Science,,Towards Data Science,8 min read,"Aug 8,",2018,14K,25 responses
"If you want to learn Data Science, start with one of these programming classes",,We’ve moved to freeCodeCamp.org/news,14 min read,"Sep 26,",2016,7.3K,56 responses
"I ranked every Intro to Data Science course on the internet, based on thousands of data points",,We’ve moved to freeCodeCamp.org/news,13 min read,"Jan 25,",2017,6.4K,64 responses
Bringing the best out of Jupyter Notebooks for Data Science,,Towards Data Science,9 min read,"Dec 18,",2018,11.8K,48 responses
"The best Data Science courses on the internet, ranked by your reviews",,We’ve moved to freeCodeCamp.org/news,12 min read,"May 31,",2017,7.1K,32 responses
Python for Data Science: 8 Concepts You May Have Forgotten,,Towards Data Science,7 min read,"Jun 5,",2018,10.7K,32 responses
I Dropped Out of School to Create My Own Data Science Master’s — Here’s My Curriculum,,,6 min read,"Apr 19,",2016,8.4K,60 responses
How I Got 4 Data Science Offers and Doubled my Income 2 Months after being Laid…,,Towards Data Science,14 min read,"Sep 16,",2020,7.6K,50 responses
Want a data science job? Use the weekend project principle to get it,,Towards Data Science,4 min read,"Nov 3,",2019,8K,29 responses
Why you shouldn’t be a data science generalist,"I work at a data science mentorship startup, and I’ve found there’s a single…",Towards Data Science,6 min read,"Nov 2,",2018,11K,49 responses
"If I had to start learning Data Science again, how would I do it?",,Towards Data Science,5 min read,"Apr 25,",2020,6.8K,27 responses
Five books every data scientist should read that are not about data science,,Towards Data Science,5 min read,"Aug 23,",2018,8.3K,36 responses
