Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
JavaScript: What the heck is a Callback?,,codeburst,5 min read,"Jun 12,",2017,34K,124 responses
The Complete JavaScript Handbook,"JavaScript is one of the most popular programming languages in the world, and is now widely used also…",We’ve moved to freeCodeCamp.org/news,91 min read,"Oct 30,",2018,36K,65 responses
"Simplify your JavaScript – Use .map(), .reduce(), and .filter()",,poka-techblog,7 min read,"Jan 29,",2018,23K,117 responses
"Don’t Use If-Else and Switch in JavaScript, Use Object Literals",,Better Programming,3 min read,Apr 12,,9.8K,77 responses
Understanding Promises in JavaScript,,Better Programming,14 min read,"Jul 15,",2018,19.8K,37 responses
Understanding Higher-Order Functions in JavaScript,,Bits and Pieces,7 min read,"Oct 23,",2018,10.6K,34 responses
Here’s how you can make better use of JavaScript arrays,,We’ve moved to freeCodeCamp.org/news,4 min read,"Aug 25,",2018,9.2K,29 responses
20 JavaScript Shorthand Techniques that will save your time,,JavaScript in Plain English,6 min read,"Nov 1,",2020,5.4K,35 responses
JavaScript: Promises or async-await,,Better Programming,4 min read,"Aug 21,",2018,8.3K,25 responses
How JavaScript works: The building blocks of Web Workers + 5 cases when you should use them,,SessionStack Blog,11 min read,"Jan 26,",2018,5.3K,7 responses
JavaScript: What’s new in ECMAScript 2019 (ES2019)/ES10?,,,3 min read,"Feb 8,",2019,4.94K,8 responses
Understanding async-await in JavaScript,,Better Programming,8 min read,"Jul 20,",2018,6.1K,18 responses
10 Things to Master About Javascript Before You Call Yourself a Pro,,Before Semicolon,5 min read,"Oct 15,",2020,2.4K,11 responses
Why Proxies in JavaScript are fantastic,,JavaScript in Plain English,10 min read,"Jul 2,",2020,3K,16 responses
Type Safe JavaScript with JSDoc,,,15 min read,"Sep 4,",2018,4.1K,19 responses
An introduction to how JavaScript package managers work,,We’ve moved to freeCodeCamp.org/news,6 min read,"Oct 25,",2016,1.6K,7 responses
JavaScript’s Memory Model,,,8 min read,"Mar 20,",2019,3.5K,19 responses
Why JavaScript Developers Should Prefer Axios Over Fetch,,Better Programming,6 min read,Feb 25,,2K,11 responses
7 Mistakes I Made (and Regret) as a JavaScript Developer,,JavaScript in Plain English,5 min read,Jan 8,,1.6K,18 responses
5 Advanced JavaScript Techniques You Should Know,,JavaScript in Plain English,5 min read,"Dec 15,",2020,1.1K,9 responses
5 Common JavaScript Memory Mistakes,,Better Programming,6 min read,Mar 1,,1.4K,3 responses
50 JavaScript Best Practice Rules to Write Better Code,,Before Semicolon,10 min read,"Nov 5,",2020,1.5K,12 responses
30 Awesome JavaScript Shorthand Techniques That You Should Know,,JavaScript in Plain English,6 min read,Apr 5,,1.3K,10 responses
"Understanding call(), bind() & apply() methods in JavaScript in simplest way!",,JavaScript in Plain English,6 min read,Jan 13,,4.1K,11 responses
5 JavaScript Tips to Make You a Better Programmer,,Better Programming,5 min read,"Jan 16,",2020,1.6K,3 responses
25 JavaScript Tricks You Need To Know About,,Before Semicolon,8 min read,"Nov 11,",2020,1.4K,6 responses
An Overview of JavaScript Testing in 2021,"This guide is intended to catch you up with the most important reasoning, terms, tools…",Welldone Software,27 min read,"Mar 16,",2020,1.7K,18 responses
4 Ways to Populate an Array in JavaScript,Occasionally in JavaScript it’s necessary to populate an array with some defaults — an…,,3 min read,"Dec 6,",2018,1.6K,9 responses
Comparing different ways to make HTTP requests in Javascript,,JavaScript in Plain English,6 min read,"Mar 5,",2020,1.2K,10 responses
5 JavaScript Tips I Learned From Vue Source Code,,Level Up Coding,5 min read,"May 15,",2020,1.2K,4 responses
Kent C. Dodds’ .filter() Trick Will Change How You Use JavaScript,,Coding at Dawn,4 min read,Jun 29,,812,12 responses
15 Rules For Writing Clean JavaScript,,JavaScript in Plain English,4 min read,"Dec 14,",2020,797,21 responses
What does a Worker do in JavaScript?,,JavaScript in Plain English,5 min read,"Feb 17,",2020,1K,3 responses
Learn JavaScript functional programming from Avengers,,codeburst,5 min read,"Dec 10,",2019,1.5K,3 responses
Stop Writing Ugly JavaScript Fetch Functions,,JavaScript in Plain English,4 min read,May 11,,1.2K,20 responses
22 Javascript shorthands that will save your time,,Coders Equity,3 min read,May 3,,589,6 responses
Which type of loop is fastest in JavaScript?,Learn which for loop or iterator suits your requirement and stops you from making…,JavaScript in Plain English,4 min read,Jan 21,,743,13 responses
Javascript Hacks,,Geek Culture,2 min read,Jul 4,,779,10 responses
How JavaScript works: memory management + how to handle 4 common memory leaks,,SessionStack Blog,18 min read,"Sep 13,",2017,18.6K,74 responses
How you can improve your workflow using the JavaScript console,,We’ve moved to freeCodeCamp.org/news,5 min read,"Jun 12,",2018,16.2K,32 responses
How JavaScript works: Event loop and the rise of Async programming + 5 ways to better coding with async/await,,SessionStack Blog,17 min read,"Oct 11,",2017,20K,41 responses
Introducing TensorFlow.js: Machine Learning in Javascript,,TensorFlow,4 min read,"Mar 30,",2018,15.2K,20 responses
Learn How To Debug JavaScript with Chrome DevTools,,codeburst,7 min read,"Sep 7,",2017,16K,47 responses
TypeScript — JavaScript With Superpowers,,Better Programming,6 min read,"Feb 28,",2018,14.8K,38 responses
Is Vanilla JavaScript worth learning? Absolutely.,,We’ve moved to freeCodeCamp.org/news,7 min read,"Aug 23,",2017,15.9K,47 responses
