Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
Machine Learning is Fun!,,,15 min read,"May 5,",2014,86K,283 responses
"Cheat Sheets for AI, Neural Networks, Machine Learning, Deep Learning & Big Data",,Becoming Human: Artificial Intelligence Magazine,8 min read,"Jul 9,",2017,68K,171 responses
"Every single Machine Learning course on the internet, ranked by your reviews",,We’ve moved to freeCodeCamp.org/news,20 min read,"May 2,",2017,22K,82 responses
Essential Cheat Sheets for Machine Learning and Deep Learning Engineers,"Machine learning is complex. For newbies, starting to learn machine learning can be painful if they don’t have right resources to learn from. Most of the machine learning libraries are difficult to…",Startups & Venture Capital,4 min read,"May 28,",2017,25K,111 responses
30 Amazing Machine Learning Projects for the Past Year (v.2018),,Mybridge for Professionals,6 min read,"Jan 4,",2018,24K,36 responses
Machine Learning is Fun! Part 4: Modern Face Recognition with Deep Learning,,,13 min read,"Jul 24,",2016,29K,194 responses
Machine Learning is Fun! Part 3: Deep Learning and Convolutional Neural Networks,,,16 min read,"Jun 13,",2016,25K,191 responses
‘I want to learn Artificial Intelligence and Machine Learning. Where can I start?’,,Towards Data Science,8 min read,"Sep 28,",2018,17.6K,84 responses
Machine Learning is Fun! Part 2,,,15 min read,"Jan 2,",2016,19.3K,72 responses
A Complete Machine Learning Walk-Through in Python: Part One,,Towards Data Science,15 min read,"May 16,",2018,15.8K,39 responses
6 Techniques Which Help Me Study Machine Learning Five Days Per Week,,Towards Data Science,8 min read,"Aug 3,",2019,12.6K,41 responses
Why businesses fail at machine learning,I’d like to let you in on a secret: when people say ‘machine learning’ it sounds like…,HackerNoon.com,6 min read,"Jun 29,",2018,17.4K,93 responses
"Over 150 of the Best Machine Learning, NLP, and Python Tutorials I’ve Found",,Machine Learning in Practice,7 min read,"Jun 27,",2017,10.6K,36 responses
Introducing TensorFlow.js: Machine Learning in Javascript,,TensorFlow,4 min read,"Mar 30,",2018,15.2K,20 responses
Machine Learning is Fun Part 6: How to do Speech Recognition with Deep Learning,,,11 min read,"Dec 24,",2016,13.1K,72 responses
"No, Machine Learning is not just glorified Statistics",,Towards Data Science,10 min read,"Jun 28,",2018,13.1K,116 responses
Human-Centered Machine Learning,7 steps to stay focused on the user when designing with ML,Google Design,13 min read,"Jul 10,",2017,8.3K,39 responses
Springer has released 65 Machine Learning and Data books for free,,Towards Data Science,4 min read,"Apr 26,",2020,8.2K,37 responses
My Curated List of AI and Machine Learning Resources from Around the Web,"If you like this article, check out another by Robbie: Learning Machine Learning and NLP from 185 Quora Questions",Machine Learning in Practice,8 min read,"Jul 10,",2017,8.8K,55 responses
How to break a CAPTCHA system in 15 minutes with Machine Learning,,,9 min read,"Dec 13,",2017,13.7K,47 responses
12 Things I Learned During My First Year as a Machine Learning Engineer,,Towards Data Science,11 min read,"Jul 6,",2019,8.2K,18 responses
Machine Learning Basics with the K-Nearest Neighbors Algorithm,,Towards Data Science,9 min read,"Sep 11,",2018,8.7K,31 responses
Thinking of Self-Studying Machine Learning? Remind yourself of these 6 things,,Towards Data Science,5 min read,"Feb 19,",2019,10.5K,23 responses
Feature Selection Techniques in Machine Learning with Python,,Towards Data Science,5 min read,"Oct 28,",2018,6.8K,32 responses
Regularization in Machine Learning,One of the major aspects of training your machine learning model is avoiding overfitting. The model…,Towards Data Science,7 min read,"Nov 15,",2017,8.5K,41 responses
Cheat Sheet of Machine Learning and Python (and Math) Cheat Sheets,"If you like this article, check out another by Robbie:My Curated List of AI and Machine Learning Resources",Machine Learning in Practice,4 min read,"Jun 1,",2017,7.4K,37 responses
A Feature Selection Tool for Machine Learning in Python,,Towards Data Science,10 min read,"Jun 22,",2018,7.9K,46 responses
Machine Learning: how to go from Zero to Hero,,We’ve moved to freeCodeCamp.org/news,8 min read,"Jun 6,",2018,10.7K,16 responses
Machine Learning in a Year,,Learning New Stuff,8 min read,"Sep 11,",2016,5.3K,54 responses
The Best Machine Learning Resources,,Machine Learning for Humans,5 min read,"Aug 19,",2017,9.6K,23 responses
Machine Learning is Fun Part 5: Language Translation with Deep Learning and the Magic of Sequences,,,16 min read,"Aug 22,",2016,10.4K,61 responses
Selecting the best Machine Learning algorithm for your regression problem,,Towards Data Science,6 min read,"Mar 5,",2018,7.1K,20 responses
Interpretable Machine Learning with XGBoost,,Towards Data Science,10 min read,"Apr 17,",2018,8.4K,42 responses
"Machine Learning for Humans, Part 2.1: Supervised Learning",,Machine Learning for Humans,13 min read,"Aug 19,",2017,12.1K,23 responses
Using Machine Learning to Predict Value of Homes On Airbnb,,The Airbnb Tech Blog,9 min read,"Jul 17,",2017,4.7K,19 responses
"The Difference Between Artificial Intelligence, Machine Learning, and Deep Learning",,IoT For All,6 min read,"Dec 4,",2017,9.4K,40 responses
6 areas of AI and machine learning to watch closely,,,9 min read,"Jan 16,",2017,2.9K,47 responses
Big Picture Machine Learning: Classifying Text with Neural Networks and TensorFlow,,We’ve moved to freeCodeCamp.org/news,12 min read,"Apr 10,",2017,3.3K,36 responses
Machine Learning (ML) vs. Artificial Intelligence (AI) — Crucial Differences,,Towards AI,13 min read,"Oct 16,",2018,7.4K,42 responses
Machine Learning Engineers Will Not Exist In 10 Years.,,Towards Data Science,6 min read,"Apr 28,",2020,4.5K,78 responses
Machine learning — Is the emperor wearing clothes?,,HackerNoon.com,8 min read,"Sep 14,",2018,8.3K,53 responses
Google’s AutoML will change how businesses use Machine Learning,,Towards Data Science,6 min read,"May 14,",2018,6.1K,27 responses
Machine Learning Kaggle Competition Part One: Getting Started,,Towards Data Science,12 min read,"May 28,",2018,7.4K,15 responses
The Hitchhiker’s Guide to Machine Learning in Python,,We’ve moved to freeCodeCamp.org/news,8 min read,"Aug 2,",2017,5.3K,16 responses
Python Implementation of Andrew Ng’s Machine Learning Course (Part 1),,Analytics Vidhya,6 min read,"Aug 31,",2018,6.8K,46 responses
The cold start problem: how to build your machine learning portfolio,,Towards Data Science,6 min read,"Dec 3,",2018,7.6K,27 responses
Fundamental Techniques of Feature Engineering for Machine Learning,,Towards Data Science,14 min read,"Apr 1,",2019,5.3K,19 responses
How (not) to use Machine Learning for time series forecasting: Avoiding the pitfalls,,Towards Data Science,9 min read,"Jun 7,",2018,6.1K,46 responses
Ten Machine Learning Algorithms You Should Know to Become a Data Scientist,,Towards Data Science,9 min read,"Mar 14,",2018,6.3K,9 responses
The 10 Algorithms Machine Learning Engineers Need to Know,,Gab41,8 min read,"Jul 12,",2016,3.2K,15 responses
Machine Learning From Scratch: Part 1,,Towards Data Science,9 min read,"Feb 20,",2018,6K,7 responses
Blockchain-based Machine Learning Marketplaces,Machine learning models trained on data from blockchain-based marketplaces have…,,9 min read,"Mar 13,",2018,9K,41 responses
Dealing with Imbalanced Classes in Machine Learning,,Towards Data Science,5 min read,"Feb 2,",2018,9.6K,16 responses
The simplest explanation of machine learning you’ll ever read,,HackerNoon.com,4 min read,"May 24,",2018,8.3K,39 responses
Machine Learning is Fun Part 7: Abusing Generative Adversarial Networks to Make 8-bit Pixel Art,"Update: This article is part of a series. Check out the full series: Part 1, Part 2, Part 3, Part 4, Part 5, Part 6, Part 7 and Part 8! You can also read this article…",,12 min read,"Feb 12,",2017,6.7K,28 responses
An intro to Machine Learning for designers,,UX Collective,6 min read,"May 31,",2018,6.4K,13 responses
Deploying a Machine Learning Model as a REST API,,Towards Data Science,6 min read,"Sep 1,",2018,5.5K,26 responses
Using Machine Learning to Improve Streaming Quality at Netflix,,Netflix TechBlog,7 min read,"Mar 23,",2018,6.1K,15 responses
I built a DIY license plate reader with a Raspberry Pi and machine learning,,Towards Data Science,17 min read,"Feb 22,",2020,3.7K,14 responses
Handling imbalanced datasets in machine learning,,Towards Data Science,15 min read,"Jan 28,",2019,5.5K,34 responses
120 Machine Learning business ideas from the latest McKinsey report.,,,2 min read,"Feb 21,",2017,3.8K,22 responses
The Mathematics of Machine Learning,"In the last few months, I have had several people contact me about their enthusiasm for venturing into the world of data science and using Machine Learning (ML) techniques to probe statistical regularities and build impeccable data-driven products. However, I have…",Towards Data Science,4 min read,"Mar 24,",2017,6.2K,16 responses
My Advice To Machine Learning Newbies After 3 Years In The Game,,Towards Data Science,4 min read,May 24,,3.9K,35 responses
,,Learning New Stuff,6 min read,"May 29,",2015,2.6K,17 responses
The Roadmap of Mathematics for Machine Learning,,Towards Data Science,19 min read,"Oct 23,",2020,4K,16 responses
Decision Trees in Machine Learning,"A tree has many analogies in real life, and turns out that it has influenced a wide area of machine…",Towards Data Science,6 min read,"May 18,",2017,5.5K,24 responses
"Over 200 of the Best Machine Learning, NLP, and Python Tutorials - 2018 Edition",,Machine Learning in Practice,6 min read,"Jul 30,",2018,6K,13 responses
Machine Learning is Fun Part 8: How to Intentionally Trick Neural Networks,,,11 min read,"Aug 17,",2017,9.6K,24 responses
"Machine Learning Zero-to-Hero: Everything you need in order to compete on Kaggle for the first time, step-by-step!",,Towards Data Science,16 min read,"Jan 15,",2018,6.2K,22 responses
A Conceptual Explanation of Bayesian Hyperparameter Optimization for Machine Learning,,Towards Data Science,14 min read,"Jun 24,",2018,5.5K,29 responses
"Machine Learning, NLP: Text Classification using scikit-learn, python and NLTK.",,Towards Data Science,7 min read,"Jul 24,",2017,6.2K,76 responses
"Spiking Neural Networks, the Next Generation of Machine Learning",,Towards Data Science,4 min read,"Jan 11,",2018,8.5K,29 responses
All Machine Learning Models Explained in 6 Minutes,,Towards Data Science,7 min read,"Jan 6,",2020,3.6K,11 responses
Index of Best AI/Machine Learning Resources,Artificial Intelligence/Machine Learning field is getting a lot of attention right…,HackerNoon.com,6 min read,"Mar 20,",2017,1.7K,17 responses
How to design an experience for the global community by leveraging machine learning?,,UX Collective,5 min read,"Apr 12,",2017,1.1K,2 responses
A Peek at Trends in Machine Learning,"Have you looked at Google Trends? It’s pretty cool — you enter some keywords and see how Google Searches of that term vary through time. I thought — hey, I happen to have this arxiv-sanity database of 28,303 (arxiv) Machine Learning papers over the last 5 years, so…",,6 min read,"Apr 7,",2017,2.8K,14 responses
Top 6 Errors Novice Machine Learning Engineers Make,,"AI³ | Theory, Practice, Business",5 min read,"Oct 15,",2017,5.5K,19 responses
"How we grew from 0 to 4 million women on our fashion app, with a vertical machine learning approach",,HackerNoon.com,10 min read,"Jan 30,",2018,5.7K,44 responses
How to unit test machine learning code.,,,4 min read,"Oct 19,",2017,5.3K,11 responses
"Machine Learning for Recommender systems — Part 1 (algorithms, evaluation and cold start)",,Recombee blog,7 min read,"Jun 4,",2018,4.7K,20 responses
"Machine Learning Algorithms In Layman’s Terms, Part 1",,Towards Data Science,14 min read,"Mar 2,",2019,4.5K,15 responses
