Statement,Content,Publication,Read_Time,Date,Year,Claps,comments
"Goodbye, Object Oriented Programming",,,10 min read,"Jul 23,",2016,164K,"1,202 responses"
Which programming language should you learn first? ʇdıɹɔsɐʌɐɾ :ɹǝʍsuɐ,,We’ve moved to freeCodeCamp.org/news,10 min read,"Nov 2,",2016,22K,234 responses
‘The Art of Computer Programming’ by Donald Knuth,,,5 min read,"Apr 22,",2016,23K,198 responses
How I went from programming with a Nokia feature phone to working for an MIT Startup,"In 2012, I was just a village boy from Nigeria who had nothing but a dream and a Nokia feature (J2ME) phone. Today, I’m a 19 year old Android developer who has worked on over 50 apps…",We’ve moved to freeCodeCamp.org/news,10 min read,"Dec 15,",2017,68K,201 responses
10 Signs You Will Suck at Programming,,,13 min read,"Jan 27,",2019,25K,157 responses
Here are the best programming languages to learn in 2018,,We’ve moved to freeCodeCamp.org/news,10 min read,"Jan 16,",2018,30K,101 responses
Master the JavaScript Interview: What is Functional Programming?,,JavaScript Scene,11 min read,"Jan 3,",2017,24K,60 responses
Why Python is not the programming language of the future,,Towards Data Science,7 min read,"Mar 31,",2020,15.2K,166 responses
How to prepare for competitive programming ?,,,8 min read,"Sep 16,",2016,29K,50 responses
Warning: Your programming career,,SoloLearn,11 min read,"May 12,",2018,26K,75 responses
Python is a Bad Programming Language,"I’ll say it again: Python is a bad programming language, and the only reason it’s so popular…",Nerd For Tech,5 min read,Mar 1,,6.2K,
A Step-By-Step Guide To Building a Trading Bot In Any Programming Language,,,13 min read,"Aug 1,",2020,3.1K,22 responses
The 7 Programming Languages & Frameworks to Learn in 2020,,The Startup,7 min read,"Jan 3,",2020,2.5K,41 responses
What is Reactive Programming?,,,6 min read,"Dec 12,",2016,4.7K,29 responses
"Object-oriented programming is dead. Wait, really?",,Towards Data Science,9 min read,"Sep 20,",2020,2K,48 responses
6 Programming Habits That Make You an Ineffective Programmer,,Level Up Coding,5 min read,"Mar 23,",2020,2.4K,14 responses
"5 Famous Programming Quotes, Explained",,Young Coder,8 min read,"Feb 12,",2020,2.8K,14 responses
10 top Programming Languages in 2020 for Businesses,It is the combination of hardware & software that makes for most of the progress in Technology. The top programming languages are a core part of the modern & emerging technologies we see today.,codeburst,8 min read,"Jun 12,",2019,2.2K,27 responses
